comment_id,video_id,author,text,like_count,published_at,reply_count,label_rule
Ugx-2X_TFqH2SWHcTBZ4AaABAg,3d2pb4Q6Vas,@현실과꿈,그미가 더 귀여워~,0,2025-08-23 13:45:23+00:00,0,상황/스토리
UgxYHAv8g7RY32CFyR94AaABAg,3d2pb4Q6Vas,@라슨-q9r,아뇨 원피스는 이쁜데 모델이 귀여운데요?,0,2025-08-18 14:50:42+00:00,0,상황/스토리
UgyTFy-PdeiCduGiaHx4AaABAg,3d2pb4Q6Vas,@나는-f4d,사람이 명품이니 옷도 명품같네,1,2025-08-18 02:47:43+00:00,0,상황/스토리
UgyU5vnRedpR31Cpdj94AaABAg,3d2pb4Q6Vas,@김승원-w2j,카와이,0,2025-08-15 13:04:35+00:00,0,상황/스토리
UgwbtGTFrLiG70S-b7R4AaABAg,3d2pb4Q6Vas,@화붕이,아니 니가 더 귀여워,0,2025-08-10 08:17:49+00:00,0,상황/스토리
UgwPWpdKbfwRv5ttaIF4AaABAg,3d2pb4Q6Vas,@wlhd8910,개귀엽다,0,2025-08-04 15:25:28+00:00,0,상황/스토리
Ugzt5Zslffh2C4BXOVZ4AaABAg,3d2pb4Q6Vas,@algkdlf3,이쁘네,0,2025-08-01 23:25:58+00:00,0,상황/스토리
Ugy6eZ1JRvzBVJRqyH14AaABAg,3d2pb4Q6Vas,@타오름달무리,'니가 더 귀여워',0,2025-08-01 14:50:26+00:00,0,상황/스토리
Ugzvckn0YbRePUVsBAR4AaABAg,3d2pb4Q6Vas,@대세-e9d,우쭈쭈 좀 귀엽네요 😊,0,2025-08-01 10:40:09+00:00,0,상황/스토리
Ugyga91gyKUs9g2KIjV4AaABAg,3d2pb4Q6Vas,@MongDam98,아 고백공격 마렵네,0,2025-07-30 16:14:48+00:00,0,상황/스토리
UgyM-NRJE5jv1d6B__B4AaABAg,3d2pb4Q6Vas,@빠삐뽀,내가 아는 원피스는 아직 공개가 안됐는데,0,2025-07-30 14:26:04+00:00,0,상황/스토리
UgwiLkhc4IzCkfk96bd4AaABAg,3d2pb4Q6Vas,@ReFree-JO,너니까 기여운거야,0,2025-07-29 15:51:22+00:00,0,상황/스토리
UgxhsEB7M0KVEGKqHWR4AaABAg,3d2pb4Q6Vas,@123아-u4d,임부복,0,2025-07-29 08:27:59+00:00,0,상황/스토리
Ugx_XdtQGoaKVHHrRxN4AaABAg,3d2pb4Q6Vas,@열혈강호-o3f,임산부복?,0,2025-07-29 02:02:49+00:00,0,상황/스토리
UgwA6iL8yiDn9JNoiet4AaABAg,3d2pb4Q6Vas,@skyfall0987,니가 더 귀엽다,0,2025-07-27 01:07:03+00:00,0,상황/스토리
UgzBNXz0TnJGf9d2mZJ4AaABAg,3d2pb4Q6Vas,@akyangyuga_,유치원 병아리반 입대하셔도 될듯,0,2025-07-26 08:37:47+00:00,0,상황/스토리
UgxRtKTIkdQOcipsGHJ4AaABAg,3d2pb4Q6Vas,@a_quaman,귀.엽.다.는. 뜻 .모.르.시.나.요.?,0,2025-07-25 20:32:43+00:00,0,상황/스토리
UgyTkyNmOBv4sMdQmDN4AaABAg,3d2pb4Q6Vas,@herupim8248,7의 여자가 인기가 많은 이유,0,2025-07-25 05:55:42+00:00,0,상황/스토리
Ugy4XIJUzX7hkIWS-Bt4AaABAg,3d2pb4Q6Vas,@브리드버킹엄,"딱딱딱딱딱

딱딱이 복숭아노",0,2025-07-25 00:55:18+00:00,0,상황/스토리
UgwzAkkFn0UMAfaLlSh4AaABAg,3d2pb4Q6Vas,@captainjae,금휘❤,0,2025-07-24 05:10:25+00:00,0,상황/스토리
Ugy2xGTwn2UDbyCYzYR4AaABAg,3d2pb4Q6Vas,@dearhyun03,그옷은 당신스타일이지만 금휘님은 내스타일😂,0,2025-07-24 03:17:03+00:00,0,상황/스토리
UgwRaJgTLz6eDjr0WiV4AaABAg,3d2pb4Q6Vas,@KJJLHM,목 짤려있으니까 개이쁘다,0,2025-07-23 07:52:51+00:00,0,상황/스토리
UgzIdyaefxXJrsRYa_54AaABAg,3d2pb4Q6Vas,@criv-e4d,넘이쁘당 여자친구로 금휘할라면 다시태어나야될라나,0,2025-07-22 15:27:46+00:00,0,상황/스토리
